Date,Open,High,Low,Close,Adj Close,Volume
2016/4/1,20786.17969,20786.17969,20455.41016,20498.91992,20498.91992,1633594800
2016/4/5,20311.85938,20311.85938,20116.86914,20177,20177,1876707600
2016/4/6,20100,20249.83984,20100,20206.66992,20206.66992,1338272400
2016/4/7,20297.82031,20370.51953,20165.75977,20266.05078,20266.05078,1493940300
2016/4/8,20061.59961,20370.43945,20045.4707,20370.40039,20370.40039,1435612200
2016/4/11,20255.83984,20550.94922,20240.68945,20440.81055,20440.81055,1234203400
2016/4/12,20440.7207,20546.42969,20407.82031,20504.43945,20504.43945,997121600
2016/4/13,20739.33984,21171.28906,20716.91016,21158.71094,21158.71094,2500342000
2016/4/14,21456.60938,21511.08008,21266.21094,21337.81055,21337.81055,2054279800
2016/4/15,21374.65039,21423.06055,21234.11914,21316.4707,21316.4707,1413648900
2016/4/18,21129.67969,21172,21002.76953,21161.5,21161.5,1426843200
2016/4/19,21438.13086,21459.03906,21259.16992,21436.21094,21436.21094,1462091100
2016/4/20,21452.82031,21452.82031,21103.33984,21236.31055,21236.31055,1716745500
2016/4/21,21406.40039,21634.74023,21331.58984,21622.25,21622.25,1709117500
2016/4/22,21448.15039,21495.78906,21358.5293,21467.03906,21467.03906,1282700700
2016/4/25,21408.56055,21430.57031,21254.46094,21304.43945,21304.43945,1199972500
2016/4/26,21380.01953,21419.91992,21080.88086,21407.26953,21407.26953,1346786700
2016/4/27,21372.33008,21442.50977,21277.03906,21361.59961,21361.59961,1247249600
2016/4/28,21488.96094,21654.07031,21255.41992,21388.0293,21388.0293,1684154400
2016/4/29,21215.19922,21235.39063,21023.76953,21067.05078,21067.05078,1603138400
2016/5/3,21061.76953,21061.76953,20668.36914,20676.93945,20676.93945,1707676300
2016/5/4,20556.5,20580.38086,20411.41016,20525.83008,20525.83008,1555895400
2016/5/5,20363.85938,20534.75977,20342.75,20449.82031,20449.82031,1354977100
2016/5/6,20357.44922,20377.93945,20058.76953,20109.86914,20109.86914,1725801800
2016/5/9,20279.90039,20303.18945,20125.7793,20156.81055,20156.81055,1323285400
2016/5/10,19962.42969,20294.46094,19962.42969,20242.67969,20242.67969,1446925800
2016/5/11,20347.75977,20347.75977,20008.91992,20055.28906,20055.28906,1337926500
2016/5/12,20100.5,20100.5,19863.61914,19915.46094,19915.46094,1150409200
2016/5/13,19843.49023,19881.91016,19594.60938,19719.28906,19719.28906,1758498600
2016/5/16,19711.76953,19998.75977,19705.91016,19883.94922,19883.94922,1486067400
2016/5/17,19987.24023,20145.76953,19847.69922,20118.80078,20118.80078,1568659300
2016/5/18,19862.41992,19923.83008,19749.28906,19826.41016,19826.41016,1351584400
2016/5/19,19729.63086,19793.46094,19646.34961,19694.33008,19694.33008,1148089000
